Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії	Сімферополь	-
Народний суд 2-ї дільниці Лохвицького району, м.Лохвиця Лохвицького р-ну Роменського окр. Полтавської губ.	Лохвиця	Полтавська
Народний суд 2-ї дільниці Миргородського повіту, с.Комишня Миргородського пов. Полтавської губ.	Комишня	Полтавська
Народний суд 2-ї дільниці міста Пирятина, м.Пирятин Пирятинського р-ну Полтавської обл.	Пирятин	Полтавська
Народний суд 2-ї дільниці, с.Сасинівка Сасинівської вол. Пирятинського пов. Полтавської губ.	Сасинівка	Полтавська
Народний суд 3-ї дільниці Гадяцького повіту, м.Гадяч Гадяцького пов. Полтавської губ.	Гадяч	Полтавська
Народний суд 3-ї дільниці Пирятинського повіту, м.Пирятин Пирятинського пов. Полтавської губ.	Пирятин	Полтавська
Народний суд 3-ї дільниці, с.Підставки Капустинського р-ну Роменського окр., до 1925р. Полтавської губ.	Підставки	Полтавська
Народний суд 3-ї дільниці Хорольського повіту, м. Хорол Хорольського пов. Полтавської губ.	Хорол	Полтавська
Народний суд 4-ї дільниці Гадяцького повіту, м. Гадяч Гадяцького пов. Полтавської губ.	Гадяч	Полтавська
Народний суд 4-ї дільниці Гадяцького району, м.Гадяч Гадяцького р-ну Роменського окр. Полтавської губ.	Гадяч	Полтавська
Народний суд 4-ї дільниці Лохвицького повіту, с.Свиридівка Свиридівської вол. Лохвицького пов. Полтавської губ.	Свиридівка	Полтавська
Народний суд 4-ї дільниці Пирятинського повіту, с.Городище Городищенської вол. Пирятинського пов. Полтавської губ.	Городище	Полтавська
Народний суд 4-ї дільниці, с.Малютинці Теплівської вол. Пирятинського пов. Полтавської губ.	Малютинці	Полтавська
Народний суд 5-го поділу Роменського округу, м.Лохвиця Лохвицького р-ну Роменського окр., до 1925р. Полтавської губ.	Лохвиця	Полтавська
Народний суд 5-го поділу, с.Білоцерківці Білоцерківської вол. Лохвицького пов. Полтавської губ.	Білоцерківці	Полтавська
Народний суд 5-ї дільниці Гадяцького повіту, с.Підставки Бірківської вол. Гадяцького пов. Полтавської губ.	Підставки	Полтавська
Народний суд 5-ї дільниці, с.Жоравка Жоравської вол. Пирятинського пов. Полтавської губ.	Жоравка	Полтавська
Народний суд 6-ї дільниці Гадяцького повіту, с.Веприк Веприцької вол. Гадяцького пов. Полтавської губ.	Веприк	Полтавська
Народний суд 6-ї дільниці, м.Полтава Полтавського окр.	Полтава	Полтавська
