imp_id,imp_title,old_id,old_title,dist_km,full_sim
33f2079e-939e-4a27-8a32-c1efb94bb58d,Горохів,1ca7367b-b7cd-4490-977f-f74829bfb790,"Тиновський Віктор, нотаріус, м. Горохів Горохівського повіту Волинського воєводства",0.31,0.13
33f2079e-939e-4a27-8a32-c1efb94bb58d,Горохів,d2d0a229-8a3e-4ad7-ace1-714003916a44,"Новогорохівська церква, с. Новий Горохів Володимирський повіт",0.31,0.16
33f2079e-939e-4a27-8a32-c1efb94bb58d,Горохів,09d8aa2e-c0ac-494d-b913-f172eee87064,"Церква Святого Миколая, м. Старий Горохів Володимирський повіт",,0.14
96f07b70-ba5f-4667-a0f0-d42cbc0efafc,Гута,5d17c582-f9ad-4c1f-bc0b-23fb60daa3ca,"Церква Святого Архістратига Михаїла, с. Гута Заболоттівська волость Ковельський повіт",0.65,0.06
96f07b70-ba5f-4667-a0f0-d42cbc0efafc,Гута,a1347b44-cc95-4dbb-a5ad-3aa83bf68f10,"Церква Архистратига Михаїла, с. Гута Ковельський повіт",0.65,0.09
96f07b70-ba5f-4667-a0f0-d42cbc0efafc,Гута,e3e3a7cf-aef0-4b91-b839-2cabae682e3e,"Церква Успіння Пресвятої Богородиці, с. Гута (Стара Гута) Головненська волость Володимир-Волинський повіт",0.65,0.06
079b0df8-f36d-4c5a-b929-0ae2728e351e,Гуща,a685e72d-c44a-4b3d-a9d7-fd5686b85d86,"Церква Преображення Господнього, с. Гуща Гущанська волость Володимир-Волинський повіт",1.70,0.07
079b0df8-f36d-4c5a-b929-0ae2728e351e,Гуща,e41798d6-aeac-4c33-9947-0be4f966f6b9,"Церква Святого великомученика Димитрія, с. Гуща Гущанська волость Володимир-Волинський повіт",1.70,0.07
159baccf-a21c-4e5c-83b7-dfaa9dd19f76,Джурин (Михайлівська),41e54336-a5ea-4eac-87d1-67e4cb25d39e,"Богородицька церква, с. Джурин Ямпільський повіт Подільська губернія",0.57,0.14
159baccf-a21c-4e5c-83b7-dfaa9dd19f76,Джурин (Михайлівська),64c4682c-23bc-4e3e-b340-bfb355af64af,"Покровська церква, м. Джурин Ямпільський повіт Рожнятівська волость",0.57,0.20
159baccf-a21c-4e5c-83b7-dfaa9dd19f76,Джурин (Михайлівська),8030f605-573e-434d-8a3c-33f0665263b6,"Різдво-богородична церква, м. Джурин Ямпільський повіт Рожнятівська волость",0.57,0.16
159baccf-a21c-4e5c-83b7-dfaa9dd19f76,Джурин (Михайлівська),eb711688-41dd-43bf-a371-9856f88521c6,"Покровська церква, с. Джурин Ямпільський повіт Подільська губернія",0.57,0.17
a9a30de7-30f1-43a2-94a8-a2f756c0a9c4,"Джурин (передмістя, Різдво-Богородична)",64c4682c-23bc-4e3e-b340-bfb355af64af,"Покровська церква, м. Джурин Ямпільський повіт Рожнятівська волость",0.23,0.10
a9a30de7-30f1-43a2-94a8-a2f756c0a9c4,"Джурин (передмістя, Різдво-Богородична)",eb711688-41dd-43bf-a371-9856f88521c6,"Покровська церква, с. Джурин Ямпільський повіт Подільська губернія",0.23,0.10
a9a30de7-30f1-43a2-94a8-a2f756c0a9c4,"Джурин (передмістя, Різдво-Богородична)",8030f605-573e-434d-8a3c-33f0665263b6,"Різдво-богородична церква, м. Джурин Ямпільський повіт Рожнятівська волость",0.23,0.33
a9a30de7-30f1-43a2-94a8-a2f756c0a9c4,"Джурин (передмістя, Різдво-Богородична)",41e54336-a5ea-4eac-87d1-67e4cb25d39e,"Богородицька церква, с. Джурин Ямпільський повіт Подільська губернія",0.23,0.20
